COMPANY,TITLE,COMPANY_URL,LOCATION,BENEFIT,JOB_URL,LISTING_DATE
PSA BDP,Business Analyst Specialist,https://www.linkedin.com/company/psabdp?trk=public_jobs_jserp-result_job-search-card-subtitle,Greater Istanbul,Actively Hiring,https://tr.linkedin.com/jobs/view/business-analyst-specialist-at-psa-bdp-3488344123?refId=%2BuUKg5nZXRtQy1%2BNvct70w%3D%3D&trackingId=hd4zo0T4cWznGj8IfK%2B8Qg%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card,2 weeks ago
Securitas Technology Türkiye,Operasyon Uzman Yardımcısı,https://tr.linkedin.com/company/securitas-tech-tr?trk=public_jobs_jserp-result_job-search-card-subtitle,"Beykoz, Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/operasyon-uzman-yard%C4%B1mc%C4%B1s%C4%B1-at-securitas-technology-t%C3%BCrkiye-3585544380?refId=%2BuUKg5nZXRtQy1%2BNvct70w%3D%3D&trackingId=yrdtPgiwt4WkLutwA7birQ%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card,5 days ago
Getir,Business Analyst & Process Development Executive,https://tr.linkedin.com/company/getir?trk=public_jobs_jserp-result_job-search-card-subtitle,"İstanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/business-analyst-process-development-executive-at-getir-3574813765?refId=%2BuUKg5nZXRtQy1%2BNvct70w%3D%3D&trackingId=pKrNY3UpCbiZrxlb24ZJ%2Bw%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago
Mapa Group,Jr. Business Analyst,https://tr.linkedin.com/company/mapa-group?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ankara, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/jr-business-analyst-at-mapa-group-3600973302?refId=%2BuUKg5nZXRtQy1%2BNvct70w%3D%3D&trackingId=vI3NO6N4%2FzfO5uVtZm3%2F3w%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card,3 days ago
ZES,İş Analisti,https://tr.linkedin.com/company/zorluenergysolutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ankara, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/i%CC%87%C5%9F-analisti-at-zes-3602335224?refId=%2BuUKg5nZXRtQy1%2BNvct70w%3D%3D&trackingId=%2BXw3swTWaXcsGteCy9LNrg%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago
Aselsan,Algoritma Geliştirme Mühendisi,https://tr.linkedin.com/company/aselsan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ankara, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/algoritma-geli%C5%9Ftirme-m%C3%BChendisi-at-aselsan-3594250394?refId=%2BuUKg5nZXRtQy1%2BNvct70w%3D%3D&trackingId=0LxOB2mjBypKBtojp67fpg%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card,4 days ago
MetLife Türkiye,Software Developer,https://tr.linkedin.com/company/metlifetr?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Turkey",Unkown,https://tr.linkedin.com/jobs/view/software-developer-at-metlife-t%C3%BCrkiye-3605571156?refId=%2BuUKg5nZXRtQy1%2BNvct70w%3D%3D&trackingId=MeTu6TjMOjApBR0EMxdQfA%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card,4 days ago
Extratik,Data Analyst,https://tr.linkedin.com/company/extratik?trk=public_jobs_jserp-result_job-search-card-subtitle,"Kucukcekmece, Istanbul, Turkey",Unkown,https://tr.linkedin.com/jobs/view/data-analyst-at-extratik-3603793193?refId=%2BuUKg5nZXRtQy1%2BNvct70w%3D%3D&trackingId=cbz2hpnAEaoReFpG78L1ow%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card,2 weeks ago
LC Waikiki,E ticaret Analitik Yöneticisi,https://tr.linkedin.com/company/lc-waikiki?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Turkey",Unkown,https://tr.linkedin.com/jobs/view/e-ticaret-analitik-y%C3%B6neticisi-at-lc-waikiki-3602122008?refId=%2BuUKg5nZXRtQy1%2BNvct70w%3D%3D&trackingId=ibsct1WtnQNM8OKXQbWNEQ%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card,2 weeks ago
Trendyol Group,Trendyol Go - Strategy & Planning Professionals - Grocery,https://tr.linkedin.com/company/trendyolgroup?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Turkey",Unkown,https://tr.linkedin.com/jobs/view/trendyol-go-strategy-planning-professionals-grocery-at-trendyol-group-3337094852?refId=%2BuUKg5nZXRtQy1%2BNvct70w%3D%3D&trackingId=hzbgBUpeBHFcU5vj02GCuA%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card,6 days ago
